Date,Open,High,Low,Close
11/1/2023,34651,38024,34137,37589
10/1/2023,27072,35077,26570,34651
9/1/2023,26002,27474,24971,27072
8/1/2023,29180,30176,25469,25996
7/1/2023,30379,31638,28952,29180
6/1/2023,27120,31383,24801,30379
5/1/2023,29348,29983,25883,27120
4/1/2023,28392,30976,27039,29348
3/1/2023,23142,29140,19594,28392
2/1/2023,22950,25193,21437,23159
1/1/2023,16549,23940,16491,22950
12/1/2022,17102,18338,16300,16549
11/1/2022,20407,21486,15508,17102
10/1/2022,19425,21020,18271,20407
9/1/2022,20207,22733,18189,19420
8/1/2022,23804,25199,19544,20207
7/1/2022,18731,24613,18706,23804
6/1/2022,31757,31957,17630,18731
5/1/2022,38332,39890,25805,31757
4/1/2022,45760,47367,37746,38332
3/1/2022,41650,48174,37187,45760
2/1/2022,38444,45758,34413,41650
1/1/2022,46338,47946,33070,38444
12/1/2021,57144,59093,42169,46322
11/1/2021,60968,68925,53577,57144
